,Tick,Side,Out_time,Staking_reward,Price,ETH_amount,Uni_val,B&H,reallowcation fee,Hedge_pnl,Total_val,Total_pnl,alpha,beta,sharp ratio
1,195780.0,0.5,2021-08-26 04:18:00,18736.861589873286,3226.324026272905,74.95898000442472,523942.0164021592,506473.97979757725,247.78168521775908,-5994.38916033334,517947.62724182586,17947.62724182586,0.15,0.15,0.014004524401824443
9,195488.0,0.5,2021-09-12 08:30:00,5743.0516604735,3255.490536640964,76.42723093622497,496506.20139134285,502350.37251924805,2430.332822435753,-1216.1170977112397,489420.1442500211,-10579.855749978917,0.07,0.07,-0.00031777339517856325
22,196612.0,0.5,2021-09-26 07:48:00,7776.188611450482,2936.000060806177,77.33087195757821,439768.51693898585,473252.91098927177,5205.907238380485,-3156.3047308211176,462655.72582773084,-37344.27417226916,0.05,0.05,-0.014533392633601648
2,195222.0,0.5,2021-10-13 01:09:00,22838.721763429956,3502.0178013652862,82.4595151542261,566034.5323711904,550197.2594644743,524.4611279345977,-14439.870461529532,517000.30905623647,17000.309056236467,0.13,0.05,0.00707435555053906
6,192349.0,0.5,2021-10-31 05:53:00,2010.2779048757188,4299.200446493121,63.2096378326684,539492.1534021357,560099.8125437988,1931.6208575947926,8527.75180641219,484984.25301590463,-15015.74698409537,0.08,0.08,0.018158185096325802
1,192666.0,0.5,2021-11-20 10:06:00,21920.1575068846,4319.021330603686,54.85019334076966,522837.3534405666,501386.94019783475,331.700838190363,-1275.7440421886154,521561.609398378,21561.609398378,0.14,0.14,0.01092570281598876
3,192836.0,0.5,2021-12-06 05:36:00,1013.0500341709918,4125.681105316121,54.93617180003801,481681.65403683827,488456.0413642187,927.2772512568101,5365.856956694049,490491.95747438155,-9508.042525618454,0.13,0.13,-0.006684059523095209
2,194161.0,0.5,2021-12-21 00:53:00,19536.987597321833,3822.9980029740805,64.71607821754057,503543.1959135198,480441.0421545203,577.7104878544608,-8006.933917219842,521700.01204429823,21700.01204429823,0.11,0.07,0.0014607575567087724
4,196214.0,0.5,2022-01-12 17:34:00,10585.757856293327,3260.377192192681,74.88327126276691,479583.4155423646,461727.9240667183,1002.9866872383467,-18544.58740434459,517021.73443036654,17021.734430366545,0.08,0.08,-0.00391857098693552
9,197930.0,0.5,2022-01-27 00:16:00,2091.0157181970435,2611.0540648523065,86.51548838732872,429240.12501536484,446559.3934843502,1716.1443367627996,-6346.863878128475,478216.4692695477,-21783.530730452272,0.09,0.05,-0.0002174834987715783
2,196484.0,0.5,2022-02-16 09:22:00,26093.1319509235,3156.754701565327,94.0223004821095,570055.4024935786,555656.1085555067,467.65315978062955,-21086.903324046078,516197.2453816314,16197.245381631423,0.12,0.05,0.00522618737571709
6,196559.0,0.5,2022-03-04 06:01:00,9514.174423611503,2805.1314799843376,82.28817813546958,478141.17053730955,471207.8293333778,1263.2281354022116,8676.254655612103,504296.95644329285,4296.9564432928455,0.08,0.08,-0.006783916348773572
1,196916.0,0.5,2022-03-23 16:18:00,21319.683021607423,2945.1153266015203,93.49608674968694,528130.9403743015,512773.04613230797,226.18485708299673,-12773.046132307914,515357.8942419936,15357.894241993607,0.15,0.05,0.004825577971659991
4,195671.0,0.5,2022-04-13 00:11:00,9439.746110804455,3044.5293263402073,78.33401842341969,505572.7420638089,508755.37198602594,987.4307047438724,10677.467277836797,495454.10371038195,-4545.896289618046,0.08,0.08,0.0037068852207544026
2,197115.0,0.5,2022-05-07 10:51:00,9768.726646012383,2685.730038509472,86.4004145485615,485863.00797877746,469772.1016578245,417.7071785538968,5826.45317397727,515580.2787658254,15580.27876582538,0.1,0.1,-0.004689211606257259
19,200214.0,0.5,2022-05-13 11:10:00,1233.4836611251242,2081.8674851758346,102.20928327375552,400107.57752575475,441128.42740778276,2978.5970302567225,-6371.05083562555,460573.3711809416,-39426.62881905842,0.06,0.05,-0.009778376547964386
3,201492.0,0.5,2022-05-27 12:06:00,9687.3188529018,1763.2763213879894,139.4185144062373,491063.75436534686,460574.8059865809,419.59710426098263,1949.6771884340153,532843.5357367327,32843.53573673265,0.08,0.05,0.0003802009371618903
5,204072.0,0.5,2022-06-13 11:48:00,4632.051361980324,1367.09267367507,150.5640207118105,409082.5549545042,440969.48354001774,620.2057632162755,907.6237940778262,459100.11523769755,-40899.88476230245,0.12,0.06,-0.009434419771896336
11,207231.0,0.5,2022-06-17 19:19:00,1069.1358881654103,1101.3064514406228,123.68367699259959,242305.65269506472,449022.22001049406,956.6939472136395,-12381.206802701787,281407.4030174986,-218592.5969825014,0.15,0.05,-0.012881120374344336
6,205375.0,0.5,2022-06-26 05:11:00,6951.243895455129,1218.7089899989442,212.8734509613437,526862.6070612245,529188.8864746531,491.0790712744515,-2837.9593857769983,498957.52736092004,-1042.4726390799624,0.1,0.06,0.0038244377561813974
5,205176.0,0.5,2022-07-11 14:04:00,7653.086022192302,1147.166648475264,206.77499248363782,487960.4568644838,484709.5446084817,436.2571575604614,17045.851099327036,501919.8228982354,1919.8228982354049,0.08,0.08,-0.004498052819573664
6,202969.0,0.5,2022-07-21 07:57:00,23398.720792780503,1521.628273816887,161.8980019417826,526866.06136723,582945.5632541975,605.0894214971104,1879.2874713482772,456493.6348233491,-43506.36517665093,0.1,0.06,0.0076364741809669436
2,201808.0,0.5,2022-07-31 23:49:00,8236.186480245,1709.2850431427717,153.04117221067398,547166.6518041128,531425.5251417712,263.52115771341755,1942.8558612357965,517852.29659601446,17852.296596014465,0.12,0.12,0.01956922202731672
