,Tick,Side,Out_time,Staking_reward,Price,ETH_amount,Uni_val,B&H,reallowcation fee,Hedge_pnl,Total_val,Total_pnl,alpha,beta,sharp ratio
1,195780.0,0.5,2021-08-26 04:18:00,28569.73884233561,3226.324026272905,77.10827675284217,533662.6228311057,506541.91906135716,247.78168521775908,-6166.266113972421,527496.3567171333,27496.356717133312,0.1,0.1,0.01865405418809394
9,195488.0,0.5,2021-09-12 08:30:00,5743.0516604735,3255.490536640964,76.42723093622497,496506.20139134285,502350.37251924805,2430.332822435753,-1216.1170977112397,489420.1442500211,-10579.855749978917,0.07,0.07,-0.00031777339517856325
22,196612.0,0.5,2021-09-26 07:48:00,7776.188611450482,2936.000060806177,77.33087195757821,439768.51693898585,473252.91098927177,5205.907238380485,-3156.3047308211176,462655.72582773084,-37344.27417226916,0.05,0.05,-0.014533392633601648
3,194453.0,0.5,2021-10-13 01:09:00,21885.394039397943,3502.0178013652862,81.09325331462094,570328.1130901879,550197.2594644743,794.8553927162839,7363.628569561369,520492.4377166543,20492.437716654327,0.1,0.05,0.008425602405570281
6,192349.0,0.5,2021-10-31 05:53:00,2010.2779048757188,4299.200446493121,63.2096378326684,539492.1534021357,560099.8125437988,1931.6208575947926,8527.75180641219,484984.25301590463,-15015.74698409537,0.08,0.08,0.018158185096325802
3,192675.0,0.5,2021-11-20 10:06:00,13103.39435016159,4319.021330603686,58.88423687629604,511658.8218558761,501362.40610423696,1022.5538114930752,-1597.1142865874858,509011.1744907586,9011.174490758625,0.09,0.09,0.0048372480940291895
8,193550.0,0.5,2021-12-06 05:36:00,4242.850402400616,4125.681105316121,54.88603481844486,448013.5604355663,488662.9096175823,2529.962759335028,-10611.974001408353,457113.72939237533,-42886.27060762467,0.09,0.09,-0.019085297664289364
2,194070.0,0.5,2021-12-21 00:53:00,21500.77870857986,3822.9980029740805,64.61330479781896,508411.68205318414,480441.0421545203,580.3075051087635,-5809.298227026269,526746.072169684,26746.07216968399,0.1,0.07,0.002061732862594393
4,196214.0,0.5,2022-01-12 17:34:00,10585.757856293327,3260.377192192681,74.88327126276691,479583.4155423646,461727.9240667183,1002.9866872383467,-18544.58740434459,517021.73443036654,17021.734430366545,0.08,0.08,-0.00391857098693552
9,197930.0,0.5,2022-01-27 00:16:00,2091.0157181970435,2611.0540648523065,86.51548838732872,429240.12501536484,446559.3934843502,1716.1443367627996,-6346.863878128475,478216.4692695477,-21783.530730452272,0.09,0.05,-0.0002174834987715783
7,195711.0,0.5,2022-02-16 09:22:00,292.9938631225206,3156.754701565327,81.74494077808029,496811.87669462344,555656.1085555067,1552.963803153055,930.6029650327844,445897.9767037226,-54102.02329627739,0.1,0.05,0.0002747048625438732
6,196559.0,0.5,2022-03-04 06:01:00,9514.174423611503,2805.1314799843376,82.28817813546958,478141.17053730955,471207.8293333778,1263.2281354022116,8676.254655612103,504296.95644329285,4296.9564432928455,0.08,0.08,-0.006783916348773572
3,196909.0,0.5,2022-03-23 16:18:00,10343.62833267208,2945.1153266015203,95.06854663485267,532596.5213957428,512773.04613230797,641.4378324446159,-12800.913000772602,519037.1344949133,19037.134494913276,0.08,0.05,0.005329594474644502
4,195671.0,0.5,2022-04-13 00:11:00,9439.746110804455,3044.5293263402073,78.33401842341969,505572.7420638089,508755.37198602594,987.4307047438724,10677.467277836797,495454.10371038195,-4545.896289618046,0.08,0.08,0.0037068852207544026
2,197115.0,0.5,2022-05-07 10:51:00,9768.726646012383,2685.730038509472,86.4004145485615,485863.00797877746,469772.1016578245,417.7071785538968,5826.45317397727,515580.2787658254,15580.27876582538,0.1,0.1,-0.004689211606257259
19,200214.0,0.5,2022-05-13 11:10:00,1233.4836611251242,2081.8674851758346,102.20928327375552,400107.57752575475,441128.42740778276,2978.5970302567225,-6371.05083562555,460573.3711809416,-39426.62881905842,0.06,0.05,-0.009778376547964386
3,201492.0,0.5,2022-05-27 12:06:00,9687.3188529018,1763.2763213879894,139.4185144062373,491063.75436534686,460574.8059865809,419.59710426098263,1949.6771884340153,532843.5357367327,32843.53573673265,0.08,0.05,0.0003802009371618903
6,204440.0,0.5,2022-06-13 11:48:00,2388.5300981279815,1367.09267367507,158.85605364714039,414496.50428034907,440969.48354001774,738.2480219437012,-6923.230591678144,465827.8966307939,-34172.103369206074,0.1,0.06,-0.013193862077556502
16,206585.0,0.5,2022-06-17 19:19:00,4945.487788940054,1101.3064514406228,128.24204407953755,279728.5707584842,446984.3140455851,1426.2395684701253,-4269.787316330723,311783.4066922819,-188216.5933077181,0.09,0.06,-0.008755259345647616
6,205375.0,0.5,2022-06-26 05:11:00,6951.243895455129,1218.7089899989442,212.8734509613437,526862.6070612245,529188.8864746531,491.0790712744515,-2837.9593857769983,498957.52736092004,-1042.4726390799624,0.1,0.06,0.0038244377561813974
5,205176.0,0.5,2022-07-11 14:04:00,7653.086022192302,1147.166648475264,206.77499248363782,487960.4568644838,484709.5446084817,436.2571575604614,17045.851099327036,501919.8228982354,1919.8228982354049,0.08,0.08,-0.004498052819573664
6,202969.0,0.5,2022-07-21 07:57:00,23398.720792780503,1521.628273816887,161.8980019417826,526866.06136723,582945.5632541975,605.0894214971104,1879.2874713482772,456493.6348233491,-43506.36517665093,0.1,0.06,0.0076364741809669436
8,202115.0,0.5,2022-07-31 23:49:00,17979.279080498523,1709.2850431427717,149.45961783996074,518369.4230483566,530989.0573963746,976.4052201474256,-5883.328689591298,487341.0072594609,-12658.992740539077,0.07,0.07,0.007707991605001592
