,Tick,Side,Out_time,Staking_reward,Price,ETH_amount,Uni_val,B&H,reallowcation fee,Hedge_pnl,Total_val,Total_pnl,alpha,beta,sharp ratio
10,196831.0,0.5,2021-09-26 07:48:00,5490.794842936977,2936.000060806177,73.82155095383453,440985.4086409507,477132.4490322232,2527.221656832902,-7642.581580361637,453725.20694310917,-46274.793056890834,0.11,0.11,-0.007178850300722133
5,192894.0,0.5,2021-10-31 05:53:00,38118.76770291013,4299.200446493121,77.27084166898061,663899.9863917127,621227.0974681237,1462.8495947038477,-7747.815762331296,549432.7914544289,49432.79145442892,0.09,0.05,0.007777203644251593
7,193015.0,0.5,2021-12-06 05:36:00,1703.2368680999912,4125.681105316121,54.140400659943744,463528.4994537506,489789.5783692272,2309.411988819188,1231.8360073531042,468763.32706597797,-31236.672934022034,0.11,0.11,-0.0067592156654957694
3,195902.0,0.5,2022-01-12 17:34:00,29595.419101810265,3260.377192192681,74.87368066636263,473938.9433127867,444614.03434793284,765.7541481271993,-11393.717140687215,531157.2800205911,31157.280020591104,0.13,0.05,0.0015953975310085608
5,196195.0,0.5,2022-02-16 09:22:00,29820.422311682352,3156.754701565327,84.62783614671059,523622.1887129143,491584.6658668013,1076.4174025510754,-11703.586707458608,525259.7278036076,25259.727803607588,0.13,0.05,0.0035113071137033453
4,197082.0,0.5,2022-03-23 16:18:00,36143.69075423008,2945.1153266015203,78.90121864882535,467676.4667266984,482307.60086796375,840.8044228504135,-14427.073081400142,486045.6728525596,-13954.327147440403,0.12,0.05,-0.00014954965260500434
3,196620.0,0.5,2022-05-07 10:51:00,32178.60028161297,2685.730038509472,84.58329156484186,466281.00114846835,476660.3014435508,689.6779725743377,17520.526533267206,483256.53146925394,-16743.46853074606,0.15,0.05,-0.002249835553868569
9,201806.0,0.5,2022-05-27 12:06:00,1494.2450663662391,1763.2763213879894,115.64603630061792,405912.3109416387,411439.8784378052,1357.9216027340508,-4735.922243857182,495172.4176270008,-4827.582372999226,0.1,0.07,-0.0034577470710607547
26,206704.0,0.5,2022-06-17 19:19:00,4463.761080116596,1101.3064514406228,107.12254324293393,219491.8581280402,400155.57417705946,2524.144744541032,-4919.939574857724,312471.66253575694,-187528.33746424306,0.08,0.05,-0.008826646201969742
6,205176.0,0.5,2022-07-11 14:04:00,10312.699266673153,1147.166648475264,203.31669011953454,477160.0687076691,510974.725229588,516.4630136762031,16760.76001337466,462492.4292793383,-37507.57072066172,0.14,0.05,0.00032528290528384684
14,201565.0,0.5,2022-07-31 23:49:00,10844.59428087189,1709.2850431427717,157.71551195839518,560199.6892630917,628429.545612009,1572.5356103464665,8682.161426350207,450332.2498848087,-49667.75011519127,0.08,0.08,0.01186400059395415
