,Tick,Side,Out_time,Staking_reward,Price,ETH_amount,Uni_val,B&H,reallowcation fee,Hedge_pnl,Total_val,Total_pnl,alpha,beta,sharp ratio
28,196612.0,0.5,2021-09-26 07:48:00,8717.885441879376,2936.000060806177,86.69564442587,493051.812593571,476656.1006895195,6918.165912485019,-3538.5333918524784,512913.9546565601,12913.95465656009,0.05,0.05,-0.00034240063745222954
5,192894.0,0.5,2021-10-31 05:53:00,38118.76770291013,4299.200446493121,77.27084166898061,663899.9863917127,621227.0974681237,1462.8495947038477,-7747.815762331296,549432.7914544289,49432.79145442892,0.09,0.05,0.007777203644251593
8,193561.0,0.5,2021-12-06 05:36:00,9334.182103383806,4125.681105316121,59.174485638810665,481826.7755935289,490037.27039035206,2632.658812623135,-11696.936962237553,487098.7338751002,-12901.26612489979,0.09,0.09,-0.00281362439457764
6,196080.0,0.5,2022-01-12 17:34:00,14392.249592481458,3260.377192192681,74.24496349569837,448853.14805037284,444614.03434793284,1636.2940051543474,-15369.179558800022,505388.0538352656,5388.053835265571,0.1,0.05,-0.0006158109826220171
11,196066.0,0.5,2022-02-16 09:22:00,23279.657818441454,3156.754701565327,79.4933605774524,500015.3698345637,491584.6658668013,2207.026964957649,-7878.298359182638,503526.07808444015,3526.078084440145,0.09,0.05,0.002407026091576726
8,196848.0,0.5,2022-03-23 16:18:00,9454.040542593913,2945.1153266015203,79.615225546311,450015.6901780192,482307.60086796375,1646.2216859369532,-9351.120468129873,466791.9527108336,-33208.047289166425,0.1,0.05,-0.001138794015653268
6,197286.0,0.5,2022-05-07 10:51:00,7585.786076782528,2685.730038509472,92.23258159233119,472051.9124057887,476660.3014435508,1411.585788565815,1914.6471762154044,489910.03453034995,-10089.965469650051,0.09,0.05,0.0005870572799173448
9,201806.0,0.5,2022-05-27 12:06:00,1494.2450663662391,1763.2763213879894,115.64603630061792,405912.3109416387,411439.8784378052,1357.9216027340508,-4735.922243857182,495172.4176270008,-4827.582372999226,0.1,0.07,-0.0034577470710607547
26,206704.0,0.5,2022-06-17 19:19:00,4463.761080116596,1101.3064514406228,107.12254324293393,219491.8581280402,400155.57417705946,2524.144744541032,-4919.939574857724,312471.66253575694,-187528.33746424306,0.08,0.05,-0.008826646201969742
10,205363.0,0.5,2022-07-11 14:04:00,11480.895161435805,1147.166648475264,212.54605189550728,520860.0332926918,511401.8666153833,828.723394533621,12680.054600685915,505939.6536551819,5939.653655181872,0.09,0.06,0.0022612070259103163
14,201565.0,0.5,2022-07-31 23:49:00,10844.59428087189,1709.2850431427717,157.71551195839518,560199.6892630917,628429.545612009,1572.5356103464665,8682.161426350207,450332.2498848087,-49667.75011519127,0.08,0.08,0.01186400059395415
